ACB,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,251","3,384","3,574","3,577","3,475"
2. Chi phí lãi và các chi phí tương tự,"2,364","2,329","2,248","2,579","2,130"
I. Thu nhập lãi thuần,887,"1,055","1,326",998,"1,345"
3. Thu nhập từ hoạt động dịch vụ,272,257,225,247,259
4. Chi phí hoạt động dịch vụ,65,56,63,62,68
II. Lãi/lỗ thuần từ hoạt động dịch vụ,207,201,161,184,191
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-34,51,43,40,50
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,7,106,-2,40,-33
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-75,10,42,75,49
5. Thu nhập từ hoạt động khác,-176,16,41,31,20
6. Chi phí hoạt động khác,-198,3,3,37,15
VI. Lãi/lỗ thuần từ hoạt động khác,23,13,38,-6,4
"VII. Thu nhập từ góp vốn, mua cổ phần",12,5,11,6,1
VIII. Chi phí hoạt động,"1,334",951,852,910,"1,150"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),-307,489,766,426,457
X. Chi phí dự phòng rủi ro tín dụng,138,170,354,86,313
XI. Tổng lợi nhuận trước thuế (IX-X),-444,318,412,340,144
7. Chi phí thuế TNDN hiện hành,-142,80,87,76,28
8. Chi phí thuế TNDN hoãn lại,-10,-12,2,,2
XII. Chi phí thuế TNDN,-151,68,89,76,30
XIII. Lợi nhuận sau thuế (XI-XII),-293,250,323,264,114
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),-293,250,323,264,114
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
