ACB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,400","3,428","3,566","3,688","3,735"
2. Chi phí lãi và các chi phí tương tự,"2,010","2,061","2,094","2,033","2,154"
I. Thu nhập lãi thuần,"1,390","1,367","1,472","1,655","1,582"
3. Thu nhập từ hoạt động dịch vụ,222,243,270,286,269
4. Chi phí hoạt động dịch vụ,54,74,71,77,67
II. Lãi/lỗ thuần từ hoạt động dịch vụ,168,169,199,209,201
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,21,26,9,65,43
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,38,-32,3,-41,-4
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-30,-8,270,-993,-184
5. Thu nhập từ hoạt động khác,20,64,74,117,61
6. Chi phí hoạt động khác,1,2,28,2,1
VI. Lãi/lỗ thuần từ hoạt động khác,19,63,46,115,60
"VII. Thu nhập từ góp vốn, mua cổ phần",5,0,6,11,0
VIII. Chi phí hoạt động,"1,003",970,"1,317",732,"1,075"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),607,615,688,289,623
X. Chi phí dự phòng rủi ro tín dụng,247,244,328,65,233
XI. Tổng lợi nhuận trước thuế (IX-X),359,372,360,224,389
7. Chi phí thuế TNDN hiện hành,79,82,76,48,79
8. Chi phí thuế TNDN hoãn lại,,,,0,
XII. Chi phí thuế TNDN,79,82,76,48,79
XIII. Lợi nhuận sau thuế (XI-XII),281,290,284,176,310
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),281,290,284,176,310
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
