ACB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","6,821","8,461","6,655","5,984","6,553"
II. Tiền gửi tại NHNN,"7,286","13,658","6,429","11,514","12,405"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","62,584","85,971","94,639","89,763","98,170"
"1. Tiền, vàng gửi tại các TCTD khác","60,018","82,339","85,076","88,982","95,134"
2. Cho vay các TCTD khác,"2,617","3,683","9,613",831,"3,086"
3. Dự phòng rủi ro cho vay các TCTD khác,-50,-50,-50,-50,-50
IV. Chứng khoán kinh doanh,"1,438","1,131","1,542","1,069","1,892"
1. Chứng khoán kinh doanh,"1,642","1,321","1,700","1,182","2,023"
2. Dự phòng giảm giá chứng khoán kinh doanh,-203,-190,-158,-113,-131
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,67,100,395,114,79
VI. Cho vay khách hàng,"396,662","408,857","406,621","429,058","444,641"
1. Cho vay và cho thuê tài chính khách hàng,"402,251","413,706","411,289","434,032","449,752"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-5,589","-4,850","-4,668","-4,974","-5,110"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"71,266","75,535","79,206","79,113","70,233"
1. Chứng khoán đầu tư sẵn sàng để bán,"27,534","31,855","36,077","42,473","34,885"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"43,732","43,680","43,129","36,640","35,348"
3. Dự phòng giảm giá chứng khoán đầu tư,,,,,
"VIII. Góp vốn, đầu tư dài hạn",155,147,141,146,140
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,309,303,303,303,303
4. Dự phòng giảm giá đầu tư dài hạn,-155,-157,-162,-157,-163
IX. Tài sản cố định,"3,734","3,981","4,127","4,292","4,448"
1. Tài sản cố định hữu hình,"2,665","2,850","2,967","3,101","3,131"
a. Nguyên giá TSCĐ,"5,274","5,524","5,646","5,863","5,994"
b. Hao mòn TSCĐ,"-2,609","-2,674","-2,679","-2,762","-2,862"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"1,069","1,132","1,160","1,191","1,316"
a. Nguyên giá TSCĐ,"1,626","1,709","1,757","1,808","1,953"
b. Hao mòn TSCĐ,-558,-578,-597,-616,-637
X. Bất động sản đầu tư,177,177,177,177,177
