ACB,Q1/2007,Q2/2007,Q3/2007,Q4/2007,Q1/2008
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,873,"1,036","1,158","1,388","1,821"
2. Chi phí lãi và các chi phí tương tự,633,726,840,"1,019","1,265"
I. Thu nhập lãi thuần,240,310,318,369,556
3. Thu nhập từ hoạt động dịch vụ,306,340,54,68,151
4. Chi phí hoạt động dịch vụ,0,0,13,12,16
II. Lãi/lỗ thuần từ hoạt động dịch vụ,306,340,42,56,135
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,0,0,15,-17,129
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,0,0,0,,-1
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,0,0,0,373,10
5. Thu nhập từ hoạt động khác,41,19,103,28,26
6. Chi phí hoạt động khác,22,32,1,36,0
VI. Lãi/lỗ thuần từ hoạt động khác,20,-13,103,-8,25
"VII. Thu nhập từ góp vốn, mua cổ phần",0,0,118,120,4
VIII. Chi phí hoạt động,153,171,191,242,273
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),413,467,405,650,586
X. Chi phí dự phòng rủi ro tín dụng,0,0,32,33,73
XI. Tổng lợi nhuận trước thuế (IX-X),413,467,373,618,513
7. Chi phí thuế TNDN hiện hành,54,31,0,36,74
8. Chi phí thuế TNDN hoãn lại,0,0,0,,0
XII. Chi phí thuế TNDN,54,31,0,36,74
XIII. Lợi nhuận sau thuế (XI-XII),360,436,373,582,438
XIV. Lợi ích của cổ đông thiểu số,0,0,0,,0
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),360,436,373,582,438
Lãi cơ bản trên cổ phiếu (BCTC),0,0,0,,0
