ACB,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Công ty mẹ,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,024","3,382","3,859","4,693","5,116"
2. Chi phí lãi và các chi phí tương tự,"2,299","2,353","2,722","3,385","3,848"
I. Thu nhập lãi thuần,725,"1,029","1,137","1,308","1,269"
3. Thu nhập từ hoạt động dịch vụ,158,125,176,473,360
4. Chi phí hoạt động dịch vụ,31,28,33,41,39
II. Lãi/lỗ thuần từ hoạt động dịch vụ,127,97,144,432,321
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,105,171,45,-129,-30
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,4,0,-47,52,-21
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,56,0,2,-3,-11
5. Thu nhập từ hoạt động khác,21,22,33,165,66
6. Chi phí hoạt động khác,20,21,27,141,95
VI. Lãi/lỗ thuần từ hoạt động khác,0,0,6,23,-29
"VII. Thu nhập từ góp vốn, mua cổ phần",20,296,27,112,5
VIII. Chi phí hoạt động,442,468,571,646,565
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),595,"1,125",742,"1,150",939
X. Chi phí dự phòng rủi ro tín dụng,17,91,75,45,76
XI. Tổng lợi nhuận trước thuế (IX-X),578,"1,034",667,"1,105",863
7. Chi phí thuế TNDN hiện hành,140,184,189,254,227
8. Chi phí thuế TNDN hoãn lại,0,0,0,0,0
XII. Chi phí thuế TNDN,140,184,189,254,227
XIII. Lợi nhuận sau thuế (XI-XII),439,850,479,851,636
XIV. Lợi ích của cổ đông thiểu số,0,0,0,0,0
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),439,850,479,851,636
Lãi cơ bản trên cổ phiếu (BCTC),0,0,0,0,0
