ACB,Q3/2007,Q4/2007,Q1/2008,Q2/2008,Q3/2008
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Công ty mẹ,Công ty mẹ,Hợp nhất,Công ty mẹ,Công ty mẹ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"1,158","1,388","1,821","2,703","3,201"
2. Chi phí lãi và các chi phí tương tự,840,"1,019","1,265","2,175","2,853"
I. Thu nhập lãi thuần,318,369,556,528,348
3. Thu nhập từ hoạt động dịch vụ,54,68,151,,
4. Chi phí hoạt động dịch vụ,13,12,16,,
II. Lãi/lỗ thuần từ hoạt động dịch vụ,42,56,135,,
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,15,-17,129,,
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,0,,-1,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,0,373,10,,
5. Thu nhập từ hoạt động khác,103,28,26,,
6. Chi phí hoạt động khác,1,36,0,,
VI. Lãi/lỗ thuần từ hoạt động khác,103,-8,25,,
"VII. Thu nhập từ góp vốn, mua cổ phần",118,120,4,,
VIII. Chi phí hoạt động,191,242,273,,
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),405,650,586,528,348
X. Chi phí dự phòng rủi ro tín dụng,32,33,73,,
XI. Tổng lợi nhuận trước thuế (IX-X),373,618,513,528,348
7. Chi phí thuế TNDN hiện hành,0,36,74,72,50
8. Chi phí thuế TNDN hoãn lại,0,,0,,
XII. Chi phí thuế TNDN,0,36,74,72,50
XIII. Lợi nhuận sau thuế (XI-XII),373,582,438,456,298
XIV. Lợi ích của cổ đông thiểu số,0,,0,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),373,582,438,456,298
Lãi cơ bản trên cổ phiếu (BCTC),0,,0,,
