ACB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","6,129","6,486","6,554","5,573","6,438"
II. Tiền gửi tại NHNN,"10,684","9,209","7,775","5,973","10,420"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","18,770","25,445","28,088","25,613","30,342"
"1. Tiền, vàng gửi tại các TCTD khác","12,984","21,256","22,061","19,548","19,391"
2. Cho vay các TCTD khác,"5,927","4,290","6,128","6,165","11,051"
3. Dự phòng rủi ro cho vay các TCTD khác,-140,-101,-101,-101,-101
IV. Chứng khoán kinh doanh,"1,178",363,253,793,"2,985"
1. Chứng khoán kinh doanh,"1,339",522,419,934,"3,146"
2. Dự phòng giảm giá chứng khoán kinh doanh,-161,-159,-166,-141,-161
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,7,11,49,88,
VI. Cho vay khách hàng,"227,983","234,791","248,030","253,343","266,165"
1. Cho vay và cho thuê tài chính khách hàng,"230,527","237,358","250,704","256,052","268,701"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,544","-2,566","-2,675","-2,709","-2,536"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"53,380","48,902","50,163","56,189","55,956"
1. Chứng khoán đầu tư sẵn sàng để bán,"8,202","7,375","7,329","10,814","10,602"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"45,635","41,995","43,327","45,862","45,822"
3. Dự phòng giảm giá chứng khoán đầu tư,-457,-468,-493,-488,-467
"VIII. Góp vốn, đầu tư dài hạn",156,152,152,152,98
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",1,1,1,1,1
3. Đầu tư dài hạn khác,160,156,156,156,102
4. Dự phòng giảm giá đầu tư dài hạn,-5,-5,-5,-5,-5
IX. Tài sản cố định,"3,233","3,221","3,316","3,491","3,770"
1. Tài sản cố định hữu hình,"2,641","2,629","2,587","2,662","2,721"
