ACB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"4,014","4,143","4,557","4,647","5,002"
2. Chi phí lãi và các chi phí tương tự,"2,307","2,486","2,610","2,739","2,982"
I. Thu nhập lãi thuần,"1,707","1,657","1,946","1,908","2,020"
3. Thu nhập từ hoạt động dịch vụ,306,319,380,335,388
4. Chi phí hoạt động dịch vụ,83,83,96,87,95
II. Lãi/lỗ thuần từ hoạt động dịch vụ,223,236,284,248,293
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,56,52,80,67,59
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-6,8,75,40,13
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-278,-140,-284,45,327
5. Thu nhập từ hoạt động khác,48,22,165,366,49
6. Chi phí hoạt động khác,13,-11,7,3,4
VI. Lãi/lỗ thuần từ hoạt động khác,35,33,157,363,46
"VII. Thu nhập từ góp vốn, mua cổ phần",10,6,9,6,18
VIII. Chi phí hoạt động,"1,171","1,243","1,189","1,474","1,748"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),576,608,"1,078","1,202","1,027"
X. Chi phí dự phòng rủi ro tín dụng,137,192,655,607,359
XI. Tổng lợi nhuận trước thuế (IX-X),439,416,423,595,667
7. Chi phí thuế TNDN hiện hành,86,80,94,130,160
8. Chi phí thuế TNDN hoãn lại,1,2,0,-14,5
XII. Chi phí thuế TNDN,86,82,94,117,165
XIII. Lợi nhuận sau thuế (XI-XII),353,334,328,478,502
XIV. Lợi ích của cổ đông thiểu số,,,,0,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),353,334,328,478,502
Lãi cơ bản trên cổ phiếu (BCTC),,,,0,
