ACB,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"6,334","6,832","7,171","6,389","6,212"
2. Chi phí lãi và các chi phí tương tự,"4,642","5,224","5,138","4,777","4,248"
I. Thu nhập lãi thuần,"1,692","1,608","2,034","1,612","1,964"
3. Thu nhập từ hoạt động dịch vụ,200,204,373,221,245
4. Chi phí hoạt động dịch vụ,152,60,63,47,54
II. Lãi/lỗ thuần từ hoạt động dịch vụ,48,143,310,174,191
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-74,-84,26,67,-52
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-77,73,327,170,95
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,102,6,-214,14,-6
5. Thu nhập từ hoạt động khác,28,33,76,25,28
6. Chi phí hoạt động khác,57,29,25,30,24
VI. Lãi/lỗ thuần từ hoạt động khác,-29,4,51,-5,4
"VII. Thu nhập từ góp vốn, mua cổ phần",23,13,176,42,68
VIII. Chi phí hoạt động,722,793,"1,067",851,"1,069"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),962,971,"1,644","1,222","1,196"
X. Chi phí dự phòng rủi ro tín dụng,137,92,-10,119,184
XI. Tổng lợi nhuận trước thuế (IX-X),825,879,"1,654","1,102","1,013"
7. Chi phí thuế TNDN hiện hành,254,226,294,265,237
8. Chi phí thuế TNDN hoãn lại,0,-5,0,0,0
XII. Chi phí thuế TNDN,254,220,294,265,237
XIII. Lợi nhuận sau thuế (XI-XII),571,659,"1,360",837,775
XIV. Lợi ích của cổ đông thiểu số,0,0,0,0,0
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),571,659,"1,360",837,775
Lãi cơ bản trên cổ phiếu (BCTC),0,0,0,0,0
