ACB,Q4/2008,Q1/2009,Q2/2009,Q3/2009,Q4/2009
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Công ty mẹ,Hợp nhất,Công ty mẹ,Công ty mẹ,Công ty mẹ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,899","1,980","2,836","3,033","3,560"
2. Chi phí lãi và các chi phí tương tự,"2,731","1,463","1,968","2,392","2,714"
I. Thu nhập lãi thuần,"1,168",517,868,642,846
3. Thu nhập từ hoạt động dịch vụ,,152,,,
4. Chi phí hoạt động dịch vụ,,22,,,
II. Lãi/lỗ thuần từ hoạt động dịch vụ,,130,,,
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,,311,,,
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,0,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,17,,,
5. Thu nhập từ hoạt động khác,,21,,,
6. Chi phí hoạt động khác,,0,,,
VI. Lãi/lỗ thuần từ hoạt động khác,,21,,,
"VII. Thu nhập từ góp vốn, mua cổ phần",,15,,,
VIII. Chi phí hoạt động,,416,,,
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,168",561,868,642,846
X. Chi phí dự phòng rủi ro tín dụng,,98,,,
XI. Tổng lợi nhuận trước thuế (IX-X),"1,168",463,868,642,846
7. Chi phí thuế TNDN hiện hành,154,103,183,145,192
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,154,103,183,145,192
XIII. Lợi nhuận sau thuế (XI-XII),"1,014",360,685,496,654
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,014",360,685,496,654
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
