ACB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"12,515","11,988","12,475","12,922","13,518"
2. Chi phí lãi và các chi phí tương tự,"6,225","5,266","5,363","6,041","6,438"
I. Thu nhập lãi thuần,"6,290","6,722","7,112","6,881","7,080"
3. Thu nhập từ hoạt động dịch vụ,"1,306","1,282","1,421","1,326","1,436"
4. Chi phí hoạt động dịch vụ,579,537,544,579,567
II. Lãi/lỗ thuần từ hoạt động dịch vụ,727,745,878,747,869
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,29,233,427,167,344
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-14,196,-41,71,-26
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,"1,358",204,-14,47,213
5. Thu nhập từ hoạt động khác,217,172,415,259,419
6. Chi phí hoạt động khác,231,110,129,56,347
VI. Lãi/lỗ thuần từ hoạt động khác,-14,62,286,203,73
"VII. Thu nhập từ góp vốn, mua cổ phần",2,6,6,20,5
VIII. Chi phí hoạt động,"3,013","2,764","2,466","2,934","2,739"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"5,365","5,405","6,186","5,202","5,819"
X. Chi phí dự phòng rủi ro tín dụng,322,512,588,358,148
XI. Tổng lợi nhuận trước thuế (IX-X),"5,044","4,892","5,598","4,844","5,671"
7. Chi phí thuế TNDN hiện hành,975,"1,067","1,075",971,"1,086"
8. Chi phí thuế TNDN hoãn lại,62,-80,54,2,40
XII. Chi phí thuế TNDN,"1,037",987,"1,130",974,"1,126"
XIII. Lợi nhuận sau thuế (XI-XII),"4,006","3,905","4,469","3,870","4,545"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"4,006","3,905","4,469","3,870","4,545"
Lãi cơ bản trên cổ phiếu (BCTC),,"1,006",,,
